Unnamed: 0,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,zscore
199,Honda City 1.5 S AT,4.0,40000.0,1,0,1,2009.0,1497.0,5.0,-0.4771028022000155
200,Maruti Ciaz Delta Diesel,6.25,55000.0,0,1,1,2015.0,1248.0,5.0,0.0331970635881833
201,Hyundai Grand i10 1.2 Kappa Sportz Option,5.75,38000.0,1,1,1,2019.0,1197.0,5.0,-0.0802029065869719
203,Hyundai Santro GS zipDrive - Euro II,1.35,60000.0,1,1,2,2006.0,999.0,5.0,-1.0781226441283385
204,Mahindra Bolero SLX,3.0,110000.0,0,1,3,2009.0,2523.0,7.0,-0.7039027425503261
205,Maruti Swift LDI,2.1,143000.0,0,1,2,2011.0,1248.0,5.0,-0.9080226888656056
207,Mahindra KUV 100 mFALCON D75 K4 Plus,4.75,58000.0,0,1,1,2017.0,1198.0,6.0,-0.3070028469372826
208,Honda City i VTEC SV,5.5,65000.0,1,1,2,2014.0,1497.0,5.0,-0.1369028916745496
209,Tata Harrier XZ Plus,17.0,50000.0,0,1,1,2021.0,1956.0,5.0,2.4712964223540217
210,Tata Zest Revotron 1.2 XT,3.49,55000.0,1,1,1,2015.0,1193.0,5.0,-0.5927707717786739
212,Mahindra XUV500 AT W10 FWD,9.25,78000.0,0,0,2,2016.0,2179.0,7.0,0.7135968846391151
214,Honda City V MT,3.9,58000.0,1,1,1,2010.0,1497.0,5.0,-0.4997827962350465
215,Mahindra XUV500 W10 2WD,10.25,91000.0,0,1,1,2017.0,2179.0,7.0,0.9403968249894256
216,Mahindra XUV500 AT W10 1.99 mHawk,11.25,30000.0,0,0,1,2016.0,1997.0,7.0,1.1671967653397362
217,Maruti Baleno 1.2 Zeta,7.25,44153.0,1,1,1,2018.0,1197.0,5.0,0.2599970039384939
219,Kia Seltos HTX G,14.0,19000.0,1,1,1,2020.0,1497.0,5.0,1.7908966013030905
220,Hyundai Alcazar Signature Diesel AT,19.5,27300.0,0,0,1,2021.0,1493.0,6.0,3.0382962732297982
222,Renault KWID 1.0 RXT,3.1,50000.0,1,1,1,2017.0,999.0,5.0,-0.681222748515295
223,Maruti Wagon R LXI BSII,1.3,77000.0,1,1,2,2005.0,998.0,5.0,-1.089462641145854
224,Maruti Swift Dzire AMT VXI,6.5,53000.0,1,0,1,2018.0,1197.0,5.0,0.0898970486757609
225,Datsun RediGO S,2.75,20000.0,1,1,1,2017.0,799.0,5.0,-0.7606027276379037
226,Honda Brio S Option MT,3.5,72000.0,1,1,1,2013.0,1198.0,5.0,-0.5905027723751708
227,Hyundai Creta 1.6 VTVT S,8.9,26000.0,1,1,1,2016.0,1591.0,5.0,0.6342169055165064
228,Honda Amaze S i-Dtech,4.25,66000.0,0,1,1,2015.0,1498.0,5.0,-0.4204028171124379
230,Maruti Alto K10 VXI AMT,4.3,30000.0,1,0,1,2018.0,998.0,5.0,-0.4090628200949224
231,Maruti Wagon R LXI Minor,2.11,61000.0,1,1,1,2009.0,1061.0,5.0,-0.9057546894621026
232,Renault Duster 110PS Diesel RxZ AMT,9.75,31000.0,0,0,1,2018.0,1461.0,5.0,0.8269968548142703
233,Volkswagen Polo GT TSI,6.25,66000.0,1,0,1,2015.0,1197.0,5.0,0.0331970635881833
235,Mahindra XUV700 AX3 AT,17.5,9000.0,1,0,1,2022.0,1999.0,5.0,2.5846963925291773
236,Tata Tigor 1.2 Revotron XT,3.4,60000.0,1,1,2,2017.0,1199.0,5.0,-0.6131827664102019
237,Skoda Fabia 1.2 MPI Active,1.1,110000.0,1,1,3,2009.0,1198.0,5.0,-1.134822629215916
238,Kia Seltos HTX Plus AT D,16.75,51001.0,0,0,1,2020.0,1493.0,5.0,2.4145964372664444
239,Jeep Compass 2.0 Limited Plus AT,21.0,56207.0,0,0,1,2020.0,1956.0,5.0,3.378496183755264
241,Hyundai i20 Diesel Sportz,6.5,73290.0,0,1,1,2018.0,1396.0,5.0,0.0898970486757609
242,Hyundai Verna 1.6 CRDi S,7.9,44283.0,0,1,1,2017.0,1582.0,5.0,0.4074169651661958
243,Maruti Celerio VXI AT,4.25,48000.0,1,0,1,2016.0,998.0,5.0,-0.4204028171124379
244,Honda City 1.5 S MT,3.4,107500.0,1,1,3,2010.0,1497.0,5.0,-0.6131827664102019
245,Maruti Swift 1.3 LXI,1.0,80000.0,1,1,3,2007.0,1298.0,5.0,-1.157502623250947
246,Maruti SX4 Celebration Petrol,2.0,90000.0,1,1,2,2009.0,1586.0,5.0,-0.9307026829006366
247,Maruti Vitara Brezza LXI,7.75,10000.0,1,1,1,2021.0,1462.0,5.0,0.3733969741136492
249,Maruti Wagon R LXI BS IV,2.15,120000.0,1,1,1,2011.0,998.0,5.0,-0.8966826918480901
250,Maruti Wagon R LXI BS IV,2.37,120000.0,1,1,1,2011.0,998.0,5.0,-0.8467867049710217
252,Mahindra KUV 100 NXT G80 K2,4.25,46000.0,1,1,1,2018.0,1198.0,6.0,-0.4204028171124379
253,Nissan Sunny XL D,5.75,28000.0,0,1,1,2017.0,1461.0,5.0,-0.0802029065869719
254,Honda WR-V SV,8.25,24000.0,1,1,1,2020.0,1199.0,5.0,0.4867969442888045
255,Honda WR-V i-VTEC S,6.9,23000.0,1,1,1,2018.0,1199.0,5.0,0.1806170248158852
256,Honda WR-V i-VTEC VX,7.75,24300.0,1,1,1,2018.0,1199.0,5.0,0.3733969741136492
257,Honda WR-V i-VTEC VX,7.9,51000.0,1,1,1,2019.0,1199.0,5.0,0.4074169651661958
258,Kia Seltos GTX Plus DCT,14.9,6000.0,1,0,1,2020.0,1353.0,5.0,1.99501654761837
259,Kia Seltos GTX Plus DCT,17.25,12600.0,1,0,1,2021.0,1353.0,5.0,2.5279964074415995
262,Hyundai Grand i10 Nios Sportz CNG,7.5,5000.0,2,1,1,2022.0,1197.0,5.0,0.3166969890260715
263,Hyundai Santro Xing GLS,1.35,120000.0,1,1,4,2010.0,1086.0,5.0,-1.0781226441283385
264,Honda Jazz V CVT,6.95,40000.0,1,0,1,2018.0,1199.0,5.0,0.1919570218334007
265,Honda City i-VTEC V,7.85,96000.0,1,1,1,2018.0,1497.0,5.0,0.3960769681486801
266,Honda City 1.5 S MT,3.25,67000.0,1,1,2,2010.0,1497.0,5.0,-0.6472027574627485
267,Honda City i-VTEC V,7.9,72000.0,1,1,1,2018.0,1497.0,5.0,0.4074169651661958
268,Hyundai i10 Magna,3.21,89000.0,1,1,1,2013.0,1197.0,5.0,-0.6562747550767609
269,Volkswagen Polo Diesel Trendline 1.2L,3.3,64000.0,0,1,1,2011.0,1199.0,5.0,-0.6358627604452329
270,Maruti Swift Vdi BSIII,2.0,120000.0,0,1,3,2010.0,1248.0,5.0,-0.9307026829006366
271,Honda Jazz 1.2 SV i VTEC,5.4,42000.0,1,1,1,2017.0,1199.0,5.0,-0.1595828857095806
272,Datsun RediGO T,2.7,55000.0,1,1,1,2017.0,799.0,5.0,-0.7719427246554192
273,Hyundai Santro Era Executive BSIV,4.95,30000.0,1,1,1,2019.0,1086.0,5.0,-0.2616428588672204
274,Tata Hexa XTA,10.0,86500.0,0,0,2,2017.0,2179.0,7.0,0.883696839901848
275,Honda CR-V 2.4L 4WD AT,10.5,59000.0,1,0,1,2014.0,2354.0,5.0,0.9970968100770032
276,Hyundai EON Era Plus,3.1,15000.0,1,1,1,2018.0,814.0,5.0,-0.681222748515295
277,Mahindra Scorpio S7 140 BSIV,12.0,70000.0,0,1,1,2019.0,2179.0,7.0,1.337296720602469
